INSERT INTO dateC VALUES (0, TO_DATE('1-1-2020','DD-MM-YYYY'), 'Lundi', 'Janvier', '2020', 1, 1);
INSERT INTO dateC VALUES (23, TO_DATE('24-1-2020','DD-MM-YYYY'), 'Mercredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (24, TO_DATE('25-1-2020','DD-MM-YYYY'), 'Jeudi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (25, TO_DATE('26-1-2020','DD-MM-YYYY'), 'Vendredi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (26, TO_DATE('27-1-2020','DD-MM-YYYY'), 'Samedi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (27, TO_DATE('28-1-2020','DD-MM-YYYY'), 'Dimanche', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (28, TO_DATE('29-1-2020','DD-MM-YYYY'), 'Lundi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (29, TO_DATE('30-1-2020','DD-MM-YYYY'), 'Mardi', 'Janvier', '2020', 0, 0);
INSERT INTO dateC VALUES (30, TO_DATE('1-2-2020','DD-MM-YYYY'), 'Mercredi', 'Fevrier', '2020', 0, 1);
INSERT INTO dateC VALUES (31, TO_DATE('2-2-2020','DD-MM-YYYY'), 'Jeudi', 'Fevrier', '2020', 0, 1);
INSERT INTO dateC VALUES (32, TO_DATE('3-2-2020','DD-MM-YYYY'), 'Vendredi', 'Fevrier', '2020', 0, 1);
INSERT INTO dateC VALUES (33, TO_DATE('4-2-2020','DD-MM-YYYY'), 'Samedi', 'Fevrier', '2020', 0, 1);
INSERT INTO dateC VALUES (34, TO_DATE('5-2-2020','DD-MM-YYYY'), 'Dimanche', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (35, TO_DATE('6-2-2020','DD-MM-YYYY'), 'Lundi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (36, TO_DATE('7-2-2020','DD-MM-YYYY'), 'Mardi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (37, TO_DATE('8-2-2020','DD-MM-YYYY'), 'Mercredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (38, TO_DATE('9-2-2020','DD-MM-YYYY'), 'Jeudi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (39, TO_DATE('10-2-2020','DD-MM-YYYY'), 'Vendredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (40, TO_DATE('11-2-2020','DD-MM-YYYY'), 'Samedi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (41, TO_DATE('12-2-2020','DD-MM-YYYY'), 'Dimanche', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (42, TO_DATE('13-2-2020','DD-MM-YYYY'), 'Lundi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (43, TO_DATE('14-2-2020','DD-MM-YYYY'), 'Mardi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (44, TO_DATE('15-2-2020','DD-MM-YYYY'), 'Mercredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (45, TO_DATE('16-2-2020','DD-MM-YYYY'), 'Jeudi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (46, TO_DATE('17-2-2020','DD-MM-YYYY'), 'Vendredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (47, TO_DATE('18-2-2020','DD-MM-YYYY'), 'Samedi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (48, TO_DATE('19-2-2020','DD-MM-YYYY'), 'Dimanche', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (49, TO_DATE('20-2-2020','DD-MM-YYYY'), 'Lundi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (50, TO_DATE('21-2-2020','DD-MM-YYYY'), 'Mardi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (51, TO_DATE('22-2-2020','DD-MM-YYYY'), 'Mercredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (52, TO_DATE('23-2-2020','DD-MM-YYYY'), 'Jeudi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (53, TO_DATE('24-2-2020','DD-MM-YYYY'), 'Vendredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (54, TO_DATE('25-2-2020','DD-MM-YYYY'), 'Samedi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (55, TO_DATE('26-2-2020','DD-MM-YYYY'), 'Dimanche', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (56, TO_DATE('27-2-2020','DD-MM-YYYY'), 'Lundi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (57, TO_DATE('28-2-2020','DD-MM-YYYY'), 'Mardi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (58, TO_DATE('29-2-2020','DD-MM-YYYY'), 'Mercredi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (59, TO_DATE('30-2-2020','DD-MM-YYYY'), 'Jeudi', 'Fevrier', '2020', 0, 0);
INSERT INTO dateC VALUES (60, TO_DATE('1-3-2020','DD-MM-YYYY'), 'Vendredi', 'Mars', '2020', 0, 1);
INSERT INTO dateC VALUES (61, TO_DATE('2-3-2020','DD-MM-YYYY'), 'Samedi', 'Mars', '2020', 0, 1);
INSERT INTO dateC VALUES (62, TO_DATE('3-3-2020','DD-MM-YYYY'), 'Dimanche', 'Mars', '2020', 0, 1);
INSERT INTO dateC VALUES (63, TO_DATE('4-3-2020','DD-MM-YYYY'), 'Lundi', 'Mars', '2020', 0, 1);
INSERT INTO dateC VALUES (64, TO_DATE('5-3-2020','DD-MM-YYYY'), 'Mardi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (65, TO_DATE('6-3-2020','DD-MM-YYYY'), 'Mercredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (66, TO_DATE('7-3-2020','DD-MM-YYYY'), 'Jeudi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (67, TO_DATE('8-3-2020','DD-MM-YYYY'), 'Vendredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (68, TO_DATE('9-3-2020','DD-MM-YYYY'), 'Samedi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (69, TO_DATE('10-3-2020','DD-MM-YYYY'), 'Dimanche', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (70, TO_DATE('11-3-2020','DD-MM-YYYY'), 'Lundi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (71, TO_DATE('12-3-2020','DD-MM-YYYY'), 'Mardi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (72, TO_DATE('13-3-2020','DD-MM-YYYY'), 'Mercredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (73, TO_DATE('14-3-2020','DD-MM-YYYY'), 'Jeudi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (74, TO_DATE('15-3-2020','DD-MM-YYYY'), 'Vendredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (75, TO_DATE('16-3-2020','DD-MM-YYYY'), 'Samedi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (76, TO_DATE('17-3-2020','DD-MM-YYYY'), 'Dimanche', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (77, TO_DATE('18-3-2020','DD-MM-YYYY'), 'Lundi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (78, TO_DATE('19-3-2020','DD-MM-YYYY'), 'Mardi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (79, TO_DATE('20-3-2020','DD-MM-YYYY'), 'Mercredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (80, TO_DATE('21-3-2020','DD-MM-YYYY'), 'Jeudi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (81, TO_DATE('22-3-2020','DD-MM-YYYY'), 'Vendredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (82, TO_DATE('23-3-2020','DD-MM-YYYY'), 'Samedi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (83, TO_DATE('24-3-2020','DD-MM-YYYY'), 'Dimanche', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (84, TO_DATE('25-3-2020','DD-MM-YYYY'), 'Lundi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (85, TO_DATE('26-3-2020','DD-MM-YYYY'), 'Mardi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (86, TO_DATE('27-3-2020','DD-MM-YYYY'), 'Mercredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (87, TO_DATE('28-3-2020','DD-MM-YYYY'), 'Jeudi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (88, TO_DATE('29-3-2020','DD-MM-YYYY'), 'Vendredi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (89, TO_DATE('30-3-2020','DD-MM-YYYY'), 'Samedi', 'Mars', '2020', 0, 0);
INSERT INTO dateC VALUES (90, TO_DATE('1-4-2020','DD-MM-YYYY'), 'Dimanche', 'Avril', '2020', 0, 1);
INSERT INTO dateC VALUES (91, TO_DATE('2-4-2020','DD-MM-YYYY'), 'Lundi', 'Avril', '2020', 0, 1);
INSERT INTO dateC VALUES (92, TO_DATE('3-4-2020','DD-MM-YYYY'), 'Mardi', 'Avril', '2020', 0, 1);
INSERT INTO dateC VALUES (93, TO_DATE('4-4-2020','DD-MM-YYYY'), 'Mercredi', 'Avril', '2020', 0, 1);
INSERT INTO dateC VALUES (94, TO_DATE('5-4-2020','DD-MM-YYYY'), 'Jeudi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (95, TO_DATE('6-4-2020','DD-MM-YYYY'), 'Vendredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (96, TO_DATE('7-4-2020','DD-MM-YYYY'), 'Samedi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (97, TO_DATE('8-4-2020','DD-MM-YYYY'), 'Dimanche', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (98, TO_DATE('9-4-2020','DD-MM-YYYY'), 'Lundi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (99, TO_DATE('10-4-2020','DD-MM-YYYY'), 'Mardi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (100, TO_DATE('11-4-2020','DD-MM-YYYY'), 'Mercredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (101, TO_DATE('12-4-2020','DD-MM-YYYY'), 'Jeudi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (102, TO_DATE('13-4-2020','DD-MM-YYYY'), 'Vendredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (103, TO_DATE('14-4-2020','DD-MM-YYYY'), 'Samedi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (104, TO_DATE('15-4-2020','DD-MM-YYYY'), 'Dimanche', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (105, TO_DATE('16-4-2020','DD-MM-YYYY'), 'Lundi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (106, TO_DATE('17-4-2020','DD-MM-YYYY'), 'Mardi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (107, TO_DATE('18-4-2020','DD-MM-YYYY'), 'Mercredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (108, TO_DATE('19-4-2020','DD-MM-YYYY'), 'Jeudi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (109, TO_DATE('20-4-2020','DD-MM-YYYY'), 'Vendredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (110, TO_DATE('21-4-2020','DD-MM-YYYY'), 'Samedi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (111, TO_DATE('22-4-2020','DD-MM-YYYY'), 'Dimanche', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (112, TO_DATE('23-4-2020','DD-MM-YYYY'), 'Lundi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (113, TO_DATE('24-4-2020','DD-MM-YYYY'), 'Mardi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (114, TO_DATE('25-4-2020','DD-MM-YYYY'), 'Mercredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (115, TO_DATE('26-4-2020','DD-MM-YYYY'), 'Jeudi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (116, TO_DATE('27-4-2020','DD-MM-YYYY'), 'Vendredi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (117, TO_DATE('28-4-2020','DD-MM-YYYY'), 'Samedi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (118, TO_DATE('29-4-2020','DD-MM-YYYY'), 'Dimanche', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (119, TO_DATE('30-4-2020','DD-MM-YYYY'), 'Lundi', 'Avril', '2020', 0, 0);
INSERT INTO dateC VALUES (120, TO_DATE('1-5-2020','DD-MM-YYYY'), 'Mardi', 'Mai', '2020', 0, 1);
INSERT INTO dateC VALUES (121, TO_DATE('2-5-2020','DD-MM-YYYY'), 'Mercredi', 'Mai', '2020', 0, 1);
INSERT INTO dateC VALUES (122, TO_DATE('3-5-2020','DD-MM-YYYY'), 'Jeudi', 'Mai', '2020', 0, 1);
INSERT INTO dateC VALUES (123, TO_DATE('4-5-2020','DD-MM-YYYY'), 'Vendredi', 'Mai', '2020', 0, 1);
INSERT INTO dateC VALUES (124, TO_DATE('5-5-2020','DD-MM-YYYY'), 'Samedi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (125, TO_DATE('6-5-2020','DD-MM-YYYY'), 'Dimanche', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (126, TO_DATE('7-5-2020','DD-MM-YYYY'), 'Lundi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (127, TO_DATE('8-5-2020','DD-MM-YYYY'), 'Mardi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (128, TO_DATE('9-5-2020','DD-MM-YYYY'), 'Mercredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (129, TO_DATE('10-5-2020','DD-MM-YYYY'), 'Jeudi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (130, TO_DATE('11-5-2020','DD-MM-YYYY'), 'Vendredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (131, TO_DATE('12-5-2020','DD-MM-YYYY'), 'Samedi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (132, TO_DATE('13-5-2020','DD-MM-YYYY'), 'Dimanche', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (133, TO_DATE('14-5-2020','DD-MM-YYYY'), 'Lundi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (134, TO_DATE('15-5-2020','DD-MM-YYYY'), 'Mardi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (135, TO_DATE('16-5-2020','DD-MM-YYYY'), 'Mercredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (136, TO_DATE('17-5-2020','DD-MM-YYYY'), 'Jeudi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (137, TO_DATE('18-5-2020','DD-MM-YYYY'), 'Vendredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (138, TO_DATE('19-5-2020','DD-MM-YYYY'), 'Samedi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (139, TO_DATE('20-5-2020','DD-MM-YYYY'), 'Dimanche', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (140, TO_DATE('21-5-2020','DD-MM-YYYY'), 'Lundi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (141, TO_DATE('22-5-2020','DD-MM-YYYY'), 'Mardi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (142, TO_DATE('23-5-2020','DD-MM-YYYY'), 'Mercredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (143, TO_DATE('24-5-2020','DD-MM-YYYY'), 'Jeudi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (144, TO_DATE('25-5-2020','DD-MM-YYYY'), 'Vendredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (145, TO_DATE('26-5-2020','DD-MM-YYYY'), 'Samedi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (146, TO_DATE('27-5-2020','DD-MM-YYYY'), 'Dimanche', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (147, TO_DATE('28-5-2020','DD-MM-YYYY'), 'Lundi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (148, TO_DATE('29-5-2020','DD-MM-YYYY'), 'Mardi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (149, TO_DATE('30-5-2020','DD-MM-YYYY'), 'Mercredi', 'Mai', '2020', 0, 0);
INSERT INTO dateC VALUES (150, TO_DATE('1-6-2020','DD-MM-YYYY'), 'Jeudi', 'Juin', '2020', 0, 1);
INSERT INTO dateC VALUES (151, TO_DATE('2-6-2020','DD-MM-YYYY'), 'Vendredi', 'Juin', '2020', 0, 1);
INSERT INTO dateC VALUES (152, TO_DATE('3-6-2020','DD-MM-YYYY'), 'Samedi', 'Juin', '2020', 0, 1);
INSERT INTO dateC VALUES (153, TO_DATE('4-6-2020','DD-MM-YYYY'), 'Dimanche', 'Juin', '2020', 0, 1);
INSERT INTO dateC VALUES (154, TO_DATE('5-6-2020','DD-MM-YYYY'), 'Lundi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (155, TO_DATE('6-6-2020','DD-MM-YYYY'), 'Mardi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (156, TO_DATE('7-6-2020','DD-MM-YYYY'), 'Mercredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (157, TO_DATE('8-6-2020','DD-MM-YYYY'), 'Jeudi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (158, TO_DATE('9-6-2020','DD-MM-YYYY'), 'Vendredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (159, TO_DATE('10-6-2020','DD-MM-YYYY'), 'Samedi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (160, TO_DATE('11-6-2020','DD-MM-YYYY'), 'Dimanche', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (161, TO_DATE('12-6-2020','DD-MM-YYYY'), 'Lundi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (162, TO_DATE('13-6-2020','DD-MM-YYYY'), 'Mardi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (163, TO_DATE('14-6-2020','DD-MM-YYYY'), 'Mercredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (164, TO_DATE('15-6-2020','DD-MM-YYYY'), 'Jeudi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (165, TO_DATE('16-6-2020','DD-MM-YYYY'), 'Vendredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (166, TO_DATE('17-6-2020','DD-MM-YYYY'), 'Samedi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (167, TO_DATE('18-6-2020','DD-MM-YYYY'), 'Dimanche', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (168, TO_DATE('19-6-2020','DD-MM-YYYY'), 'Lundi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (169, TO_DATE('20-6-2020','DD-MM-YYYY'), 'Mardi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (170, TO_DATE('21-6-2020','DD-MM-YYYY'), 'Mercredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (171, TO_DATE('22-6-2020','DD-MM-YYYY'), 'Jeudi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (172, TO_DATE('23-6-2020','DD-MM-YYYY'), 'Vendredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (173, TO_DATE('24-6-2020','DD-MM-YYYY'), 'Samedi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (174, TO_DATE('25-6-2020','DD-MM-YYYY'), 'Dimanche', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (175, TO_DATE('26-6-2020','DD-MM-YYYY'), 'Lundi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (176, TO_DATE('27-6-2020','DD-MM-YYYY'), 'Mardi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (177, TO_DATE('28-6-2020','DD-MM-YYYY'), 'Mercredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (178, TO_DATE('29-6-2020','DD-MM-YYYY'), 'Jeudi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (179, TO_DATE('30-6-2020','DD-MM-YYYY'), 'Vendredi', 'Juin', '2020', 0, 0);
INSERT INTO dateC VALUES (180, TO_DATE('1-7-2020','DD-MM-YYYY'), 'Samedi', 'Juillet', '2020', 0, 1);
INSERT INTO dateC VALUES (181, TO_DATE('2-7-2020','DD-MM-YYYY'), 'Dimanche', 'Juillet', '2020', 0, 1);
INSERT INTO dateC VALUES (182, TO_DATE('3-7-2020','DD-MM-YYYY'), 'Lundi', 'Juillet', '2020', 0, 1);
INSERT INTO dateC VALUES (183, TO_DATE('4-7-2020','DD-MM-YYYY'), 'Mardi', 'Juillet', '2020', 0, 1);
INSERT INTO dateC VALUES (184, TO_DATE('5-7-2020','DD-MM-YYYY'), 'Mercredi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (185, TO_DATE('6-7-2020','DD-MM-YYYY'), 'Jeudi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (186, TO_DATE('7-7-2020','DD-MM-YYYY'), 'Vendredi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (187, TO_DATE('8-7-2020','DD-MM-YYYY'), 'Samedi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (188, TO_DATE('9-7-2020','DD-MM-YYYY'), 'Dimanche', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (189, TO_DATE('10-7-2020','DD-MM-YYYY'), 'Lundi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (190, TO_DATE('11-7-2020','DD-MM-YYYY'), 'Mardi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (191, TO_DATE('12-7-2020','DD-MM-YYYY'), 'Mercredi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (192, TO_DATE('13-7-2020','DD-MM-YYYY'), 'Jeudi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (193, TO_DATE('14-7-2020','DD-MM-YYYY'), 'Vendredi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (194, TO_DATE('15-7-2020','DD-MM-YYYY'), 'Samedi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (195, TO_DATE('16-7-2020','DD-MM-YYYY'), 'Dimanche', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (196, TO_DATE('17-7-2020','DD-MM-YYYY'), 'Lundi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (197, TO_DATE('18-7-2020','DD-MM-YYYY'), 'Mardi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (198, TO_DATE('19-7-2020','DD-MM-YYYY'), 'Mercredi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (199, TO_DATE('20-7-2020','DD-MM-YYYY'), 'Jeudi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (200, TO_DATE('21-7-2020','DD-MM-YYYY'), 'Vendredi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (201, TO_DATE('22-7-2020','DD-MM-YYYY'), 'Samedi', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (202, TO_DATE('23-7-2020','DD-MM-YYYY'), 'Dimanche', 'Juillet', '2020', 0, 0);
INSERT INTO dateC VALUES (203, TO_DATE('24-7-2020','DD-MM-YYYY'), 'Lundi', 'Juillet', '2020', 0, 0);
